Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8333333333333334,0.8309859154929577,0.8428571428571429,0.8368794326241135
Random Forest,0.855072463768116,0.890625,0.8142857142857143,0.8507462686567164
